cumulative_attempts	attempts	complete	unchanged	same_edge	self_loop	duplicate	undirected_duplicate	excluded	metaedge	abbrev	permutation
190749	190750	0.1	0.49947	0	0	0.10967	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	2
381498	190749	0.2	0.26463	1.0485e-05	0	0.10965	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	2
572247	190749	0.3	0.15262	5.2425e-06	0	0.10944	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	2
762996	190749	0.4	0.10112	0	0	0.10877	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	2
953745	190749	0.5	0.076385	0	0	0.10814	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	2
1144494	190749	0.6	0.064514	0	0	0.10888	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	2
1335243	190749	0.7	0.058758	0	0	0.10955	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	2
1525992	190749	0.8	0.056099	0	0	0.10797	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	2
1716741	190749	0.9	0.054797	5.2425e-06	0	0.10909	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	2
1907490	190749	1	0.054599	0	0	0.10906	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	2
1907491	1	1	0.054599	0	0	1	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	2
28214	28215	0.1	0.49689	3.5442e-05	0	0.10087	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	2
56428	28214	0.2	0.26245	0	0	0.10101	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	2
84642	28214	0.3	0.15217	0	0	0.10328	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	2
112856	28214	0.4	0.10073	0	0	0.1042	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	2
141070	28214	0.5	0.076501	3.5443e-05	0	0.10062	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	2
169284	28214	0.6	0.065882	0	0	0.10286	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	2
197498	28214	0.7	0.061076	7.0887e-05	0	0.10466	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	2
225712	28214	0.8	0.056071	7.0887e-05	0	0.10045	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	2
253926	28214	0.9	0.055405	0	0	0.10282	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	2
282139	28213	1	0.054838	0	0	0.10261	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	2
32791	32792	0.1	0.47752	0	0	0.060899	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	2
65582	32791	0.2	0.23941	0	0	0.060962	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	2
98373	32791	0.3	0.12697	3.0496e-05	0	0.059833	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	2
131164	32791	0.4	0.075922	0	0	0.061938	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	2
163955	32791	0.49999	0.054429	0	0	0.060779	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	2
196746	32791	0.59999	0.042255	0	0	0.0627	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	2
229537	32791	0.69999	0.037083	3.0496e-05	0	0.062639	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	2
262328	32791	0.79999	0.035802	0	0	0.0627	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	2
295119	32791	0.89999	0.034192	0	0	0.060809	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	2
327910	32791	0.99998	0.033753	0	0	0.063371	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	2
327915	5	1	0.033753	0	0	0	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	2
386105	386106	0.1	0.46491	2.59e-06	0	0.033726	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	2
772210	386105	0.2	0.22101	2.59e-06	0	0.034081	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	2
1158315	386105	0.3	0.11014	2.59e-06	0	0.034027	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	2
1544420	386105	0.4	0.059179	0	0	0.033452	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	2
1930525	386105	0.5	0.03619	2.59e-06	0	0.034061	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	2
2316630	386105	0.6	0.025992	0	0	0.033558	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	2
2702735	386105	0.7	0.021046	0	0	0.033908	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	2
3088840	386105	0.8	0.019007	2.59e-06	0	0.033879	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	2
3474945	386105	0.9	0.018054	0	0	0.033708	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	2
3861050	386105	1	0.017664	0	0	0.0336	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	2
3861051	1	1	0.017664	0	0	0	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	2
161146	161147	0.1	0.48639	0	0	0.080095	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	2
322292	161146	0.2	0.24918	0	0	0.081038	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	2
483438	161146	0.3	0.13698	6.2056e-06	0	0.080076	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	2
644584	161146	0.4	0.085537	0	0	0.080982	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	2
805730	161146	0.5	0.062008	0	0	0.081653	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	2
966876	161146	0.6	0.050945	0	0	0.080424	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	2
1128022	161146	0.7	0.04535	0	0	0.079766	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	2
1289168	161146	0.8	0.043	6.2056e-06	0	0.081131	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	2
1450314	161146	0.9	0.041979	0	0	0.080896	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	2
1611459	161145	1	0.041183	0	0	0.079953	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	2
102696	102697	0.1	0.49531	0	0	0.097189	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	2
205392	102696	0.2	0.25818	0	0	0.096304	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	2
308088	102696	0.3	0.14809	9.7375e-06	0	0.096888	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	2
410784	102696	0.4	0.095014	1.9475e-05	0	0.095291	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	2
513480	102696	0.5	0.071313	9.7375e-06	0	0.095924	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	2
616176	102696	0.6	0.060107	2.9212e-05	0	0.096138	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	2
718872	102696	0.7	0.054841	0	0	0.095534	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	2
821568	102696	0.79999	0.051869	9.7375e-06	0	0.096567	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	2
924264	102696	0.89999	0.050681	0	0	0.096839	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	2
1026960	102696	0.99999	0.050109	9.7375e-06	0	0.096284	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	2
1026967	7	1	0.050113	0	0	0	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	2
11976	11977	0.1	0.46881	8.3493e-05	0	0.04709	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	2
23952	11976	0.19999	0.23055	0.000167	0	0.051186	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	2
35928	11976	0.29999	0.12207	8.35e-05	0	0.046176	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	2
47904	11976	0.39998	0.069835	0	0	0.047428	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	2
59880	11976	0.49997	0.046557	0	0	0.051353	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	2
71856	11976	0.59997	0.036137	8.35e-05	0	0.049432	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	2
83832	11976	0.69996	0.03283	0	0	0.052021	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	2
95808	11976	0.79995	0.033198	0	0	0.052522	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	2
107784	11976	0.89995	0.032229	0	0	0.048681	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	2
119760	11976	0.99994	0.029591	0	0	0.051019	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	2
119767	7	1	0.029591	0	0	0	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	2
7750	7751	0.1	0.45234	0	0	0.0072249	0	0	Gene - participates - Positional-Gene-Sets	GpC1	2
15500	7750	0.19999	0.20798	0.00012903	0	0.0089032	0	0	Gene - participates - Positional-Gene-Sets	GpC1	2
23250	7750	0.29998	0.10069	0	0	0.008129	0	0	Gene - participates - Positional-Gene-Sets	GpC1	2
31000	7750	0.39997	0.050266	0	0	0.0090323	0	0	Gene - participates - Positional-Gene-Sets	GpC1	2
38750	7750	0.49996	0.028281	0	0	0.008	0	0	Gene - participates - Positional-Gene-Sets	GpC1	2
46500	7750	0.59995	0.017392	0	0	0.008	0	0	Gene - participates - Positional-Gene-Sets	GpC1	2
54250	7750	0.69994	0.011663	0	0	0.0092903	0	0	Gene - participates - Positional-Gene-Sets	GpC1	2
62000	7750	0.79993	0.0092894	0	0	0.0085161	0	0	Gene - participates - Positional-Gene-Sets	GpC1	2
69750	7750	0.89992	0.0099603	0.00012903	0	0.0083871	0	0	Gene - participates - Positional-Gene-Sets	GpC1	2
77500	7750	0.99991	0.0086701	0	0	0.0076129	0	0	Gene - participates - Positional-Gene-Sets	GpC1	2
77507	7	1	0.0086701	0	0	0	0	0	Gene - participates - Positional-Gene-Sets	GpC1	2
8098	8099	0.1	0.48091	0.00012347	0	0.066428	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	2
16196	8098	0.19999	0.24078	0.00012349	0	0.065448	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	2
24294	8098	0.29998	0.13054	0.00012349	0	0.06446	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	2
32392	8098	0.39997	0.078481	0	0	0.06162	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	2
40490	8098	0.49996	0.05591	0	0	0.070511	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	2
48588	8098	0.59995	0.043957	0.00024697	0	0.064831	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	2
56686	8098	0.69994	0.038919	0	0	0.065572	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	2
64784	8098	0.79993	0.035561	0	0	0.070017	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	2
72882	8098	0.89992	0.03482	0	0	0.063472	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	2
80980	8098	0.99991	0.03482	0	0	0.065448	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	2
80987	7	1	0.03482	0	0	0.14286	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	2
2926	2927	0.10002	0.49043	0	0	0.08712	0	0	Gene - participates - Cancer-Hallmarks	GpH	3
5852	2926	0.20001	0.25506	0	0	0.086466	0	0	Gene - participates - Cancer-Hallmarks	GpH	3
8778	2926	0.29999	0.15022	0.00034176	0	0.093301	0	0	Gene - participates - Cancer-Hallmarks	GpH	3
11704	2926	0.39998	0.10388	0	0	0.083732	0	0	Gene - participates - Cancer-Hallmarks	GpH	3
14630	2926	0.49997	0.072307	0	0	0.090567	0	0	Gene - participates - Cancer-Hallmarks	GpH	3
17556	2926	0.59995	0.061919	0	0	0.090226	0	0	Gene - participates - Cancer-Hallmarks	GpH	3
20482	2926	0.69994	0.060962	0.00034176	0	0.087491	0	0	Gene - participates - Cancer-Hallmarks	GpH	3
23408	2926	0.79992	0.060279	0	0	0.087833	0	0	Gene - participates - Cancer-Hallmarks	GpH	3
26334	2926	0.89991	0.060552	0	0	0.087833	0	0	Gene - participates - Cancer-Hallmarks	GpH	3
29260	2926	0.9999	0.060962	0.00034176	0	0.083732	0	0	Gene - participates - Cancer-Hallmarks	GpH	3
29263	3	1	0.060962	0	0	0.33333	0	0	Gene - participates - Cancer-Hallmarks	GpH	3
41670	41671	0.1	0.48732	0	0	0.081688	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	3
83340	41670	0.2	0.24875	0	0	0.083273	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	3
125010	41670	0.3	0.13898	0	0	0.082025	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	3
166680	41670	0.39999	0.08785	0	0	0.083393	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	3
208350	41670	0.49999	0.063661	2.3998e-05	0	0.084761	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	3
250020	41670	0.59999	0.052939	0	0	0.083057	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	3
291690	41670	0.69999	0.048341	2.3998e-05	0	0.087233	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	3
333360	41670	0.79999	0.045845	0	0	0.082937	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	3
375030	41670	0.89999	0.044885	2.3998e-05	0	0.081473	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	3
416700	41670	0.99998	0.043023	0	0	0.080154	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	3
416707	7	1	0.043023	0	0	0	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	3
16843	16844	0.1	0.5104	0	0	0.13287	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	3
33686	16843	0.2	0.27902	0	0	0.13032	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	3
50529	16843	0.3	0.16971	5.9372e-05	0	0.12931	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	3
67372	16843	0.4	0.11554	0	0	0.13335	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	3
84215	16843	0.5	0.090957	0	0	0.13186	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	3
101058	16843	0.6	0.079937	0.00011874	0	0.12985	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	3
117901	16843	0.7	0.075449	5.9372e-05	0	0.13109	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	3
134744	16843	0.8	0.073311	5.9372e-05	0	0.13175	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	3
151587	16843	0.9	0.07039	0	0	0.12818	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	3
168430	16843	0.99999	0.069132	0	0	0.13181	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	3
168431	1	1	0.069156	0	0	0	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	3
19287	19288	0.1	0.50813	0	0	0.12733	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	3
38574	19287	0.2	0.27548	0	0	0.13014	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	3
57861	19287	0.3	0.16564	0	0	0.1263	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	3
77148	19287	0.4	0.11431	0	0	0.13424	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	3
96435	19287	0.5	0.089303	5.1848e-05	0	0.13211	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	3
115722	19287	0.6	0.079783	0.0001037	0	0.12708	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	3
135009	19287	0.7	0.076154	0	0	0.13361	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	3
154296	19287	0.8	0.071986	0	0	0.13185	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	3
173583	19287	0.9	0.0707	5.1848e-05	0	0.1332	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	3
192870	19287	0.99999	0.068107	0	0	0.13128	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	3
192871	1	1	0.068087	0	0	0	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	3
135469	135470	0.1	0.48046	0	0	0.065033	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	3
270938	135469	0.2	0.23957	7.3818e-06	0	0.063697	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	3
406407	135469	0.3	0.1287	0	0	0.064317	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	3
541876	135469	0.4	0.077414	7.3818e-06	0	0.065513	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	3
677345	135469	0.5	0.054126	0	0	0.065425	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	3
812814	135469	0.6	0.042844	7.3818e-06	0	0.064642	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	3
948283	135469	0.7	0.03793	0	0	0.064945	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	3
1083752	135469	0.8	0.035305	0	0	0.065336	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	3
1219221	135469	0.9	0.033832	0	0	0.065196	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	3
1354690	135469	1	0.033256	0	0	0.065299	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	3
1354695	5	1	0.033253	0	0	0.2	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	3
33051	33052	0.1	0.50566	0	0	0.11969	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	3
66102	33051	0.2	0.27007	0	0	0.12199	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	3
99153	33051	0.3	0.16049	3.0256e-05	0	0.12178	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	3
132204	33051	0.4	0.10617	3.0256e-05	0	0.12248	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	3
165255	33051	0.49999	0.0814	3.0256e-05	0	0.11978	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	3
198306	33051	0.59999	0.069612	0	0	0.11997	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	3
231357	33051	0.69999	0.063791	6.0513e-05	0	0.1206	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	3
264408	33051	0.79999	0.060741	3.0256e-05	0	0.1206	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	3
297459	33051	0.89999	0.061322	0	0	0.12054	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	3
330510	33051	0.99998	0.060681	0	0	0.11909	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	3
330515	5	1	0.060681	0	0	0	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	3
190749	190750	0.1	0.49951	0	0	0.10872	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	3
381498	190749	0.2	0.26441	5.2425e-06	0	0.10965	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	3
572247	190749	0.3	0.15377	5.2425e-06	0	0.10883	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	3
762996	190749	0.4	0.10133	0	0	0.10912	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	3
953745	190749	0.5	0.076561	0	0	0.10891	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	3
1144494	190749	0.6	0.064741	5.2425e-06	0	0.1085	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	3
1335243	190749	0.7	0.058863	0	0	0.10949	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	3
1525992	190749	0.8	0.056711	0	0	0.10959	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	3
1716741	190749	0.9	0.055191	5.2425e-06	0	0.10881	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	3
1907490	190749	1	0.055216	0	0	0.1092	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	3
1907491	1	1	0.055216	0	0	0	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	3
28214	28215	0.1	0.49814	0	0	0.1014	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	3
56428	28214	0.2	0.26054	0	0	0.10325	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	3
84642	28214	0.3	0.15164	0	0	0.10006	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	3
112856	28214	0.4	0.099383	3.5443e-05	0	0.10654	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	3
141070	28214	0.5	0.075395	0	0	0.10406	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	3
169284	28214	0.6	0.063841	3.5443e-05	0	0.10442	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	3
197498	28214	0.7	0.058808	0	0	0.10144	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	3
225712	28214	0.8	0.057262	3.5443e-05	0	0.10229	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	3
253926	28214	0.9	0.054951	0	0	0.10477	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	3
282139	28213	1	0.054569	3.5445e-05	0	0.099883	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	3
32791	32792	0.1	0.47739	0	0	0.062485	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	3
65582	32791	0.2	0.23604	0	0	0.062273	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	3
98373	32791	0.3	0.12762	0	0	0.063402	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	3
131164	32791	0.4	0.076495	3.0496e-05	0	0.061419	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	3
163955	32791	0.49999	0.052428	0	0	0.063767	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	3
196746	32791	0.59999	0.041657	0	0	0.063463	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	3
229537	32791	0.69999	0.037058	6.0992e-05	0	0.062456	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	3
262328	32791	0.79999	0.035436	0	0	0.063005	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	3
295119	32791	0.89999	0.034058	3.0496e-05	0	0.062304	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	3
327910	32791	0.99998	0.032472	0	0	0.062822	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	3
327915	5	1	0.032484	0	0	0	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	3
386105	386106	0.1	0.46498	0	0	0.034299	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	3
772210	386105	0.2	0.22119	0	0	0.034268	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	3
1158315	386105	0.3	0.11039	2.59e-06	0	0.034004	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	3
1544420	386105	0.4	0.059716	0	0	0.033885	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	3
1930525	386105	0.5	0.036236	0	0	0.033649	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	3
2316630	386105	0.6	0.025741	0	0	0.034175	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	3
2702735	386105	0.7	0.021163	0	0	0.034157	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	3
3088840	386105	0.8	0.019092	2.59e-06	0	0.034056	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	3
3474945	386105	0.9	0.018153	2.59e-06	0	0.033918	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	3
3861050	386105	1	0.017655	2.59e-06	0	0.03403	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	3
3861051	1	1	0.017655	0	0	0	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	3
161146	161147	0.1	0.4874	0	0	0.081423	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	3
322292	161146	0.2	0.24864	1.2411e-05	0	0.081547	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	3
483438	161146	0.3	0.1377	1.2411e-05	0	0.080579	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	3
644584	161146	0.4	0.086128	0	0	0.080201	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	3
805730	161146	0.5	0.062564	1.2411e-05	0	0.080728	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	3
966876	161146	0.6	0.050702	0	0	0.081572	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	3
1128022	161146	0.7	0.045735	0	0	0.081659	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	3
1289168	161146	0.8	0.043081	0	0	0.080014	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	3
1450314	161146	0.9	0.041982	6.2056e-06	0	0.081448	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	3
1611459	161145	1	0.041669	0	0	0.081151	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	3
102696	102697	0.1	0.49403	0	0	0.097802	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	3
205392	102696	0.2	0.25807	0	0	0.095943	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	3
308088	102696	0.3	0.14735	0	0	0.095914	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	3
410784	102696	0.4	0.096112	1.9475e-05	0	0.094531	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	3
513480	102696	0.5	0.071683	9.7375e-06	0	0.097375	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	3
616176	102696	0.6	0.059846	0	0	0.094931	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	3
718872	102696	0.7	0.054646	0	0	0.097238	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	3
821568	102696	0.79999	0.052142	0	0	0.096284	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	3
924264	102696	0.89999	0.050853	9.7375e-06	0	0.096304	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	3
1026960	102696	0.99999	0.050409	0	0	0.096683	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	3
1026967	7	1	0.050409	0	0	0.28571	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	3
11976	11977	0.1	0.47372	0	0	0.05043	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	3
23952	11976	0.19999	0.23195	0	0	0.04843	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	3
35928	11976	0.29999	0.1203	8.35e-05	0	0.05177	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	3
47904	11976	0.39998	0.071371	0	0	0.050184	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	3
